Year,SpecialOrigin,OriginCode,SpecialDestination,DestinationCode,RefugeesData
1951,,VAR,,AUS,180000
1951,,VAR,,AUT,282000
1951,,VAR,,BEL,55000
1951,,VAR,,CAN,168511
1951,,VAR,,DNK,2000
1951,,VAR,,FRA,290000
1951,,VAR,,GBR,208000
1951,,VAR,,DEU,265000
1951,,VAR,,GRC,18000
1951,,VAR,,HKG,30000
1951,,VAR,,ITA,26500
1951,,VAR,,LUX,1800
1951,,VAR,,MAR,3000
1951,,VAR,,NLD,14200
1951,,VAR,,NOR,2500
1951,,VAR,,ESP,2000
1951,,VAR,,SWE,44000
1951,,VAR,,CHE,10000
1951,,VAR,,TUN,2000
1951,,VAR,,TUR,2700
1951,,VAR,,USA,350000
1951,,VAR,,VAR,158800
1952,,VAR,,AUT,238200
1952,,VAR,,BEL,53500
1952,,VAR,,CAN,154828
1952,,VAR,,DNK,1800
1952,,VAR,,FRA,280000
1952,,VAR,,GBR,200000
1952,,VAR,,DEU,240000
1952,,VAR,,GRC,19000
1952,,VAR,,ITA,25500
1952,,VAR,,LUX,1800
1952,,VAR,,MAR,2900
1952,,VAR,,NLD,14100
1952,,VAR,,NOR,2500
1952,,VAR,,SWE,42000
1952,,VAR,,CHE,9800
1952,,VAR,,TUR,2000
1952,,VAR,,USA,500000
1952,,VAR,,VAR,165000
1953,,VAR,,AUT,215200
1953,,VAR,,BEL,53000
1953,,VAR,,CAN,107004
1953,,VAR,,DNK,1600
1953,,VAR,,FRA,270000
1953,,VAR,,GBR,192000
1953,,VAR,,DEU,228000
1953,,VAR,,GRC,18500
1953,,VAR,,ITA,24500
1953,,VAR,,LUX,1800
1953,,VAR,,MAR,2800
1953,,VAR,,NLD,13900
1953,,VAR,,NOR,2500
1953,,VAR,,SWE,37000
1953,,VAR,,CHE,9500
1953,,VAR,,TUR,2000
1953,,VAR,,USA,500000
1953,,VAR,,VAR,168000
1954,,VAR,,AUT,150000
1954,,VAR,,BEL,53000
1954,,VAR,,CAN,75828
1954,,VAR,,DNK,1400
1954,,VAR,,FRA,263000
1954,,VAR,,GBR,182000
1954,,VAR,,DEU,225000
1954,,VAR,,GRC,19000
1954,,VAR,,HKG,22000
1954,,VAR,,ITA,21500
1954,,VAR,,LUX,1800
1954,,VAR,,MAR,3500
1954,,VAR,,NLD,12400
1954,,VAR,,NOR,2300
1954,,VAR,,ESP,2000
1954,,VAR,,SWE,33000
1954,,VAR,,CHE,9400
1954,,VAR,,TUN,2000
1954,,VAR,,TUR,2500
1954,,VAR,,USA,500000
1954,,VAR,,VAR,168000
1955,,VAR,,AUT,110000
1955,,VAR,,BEL,53000
1955,,VAR,,CAN,52551
1955,,VAR,,DNK,1300
1955,,VAR,,FRA,345415
1955,,VAR,,GBR,175000
1955,,VAR,,DEU,219000
1955,,VAR,,GRC,17400
1955,,VAR,,ITA,18500
1955,,VAR,,LUX,1800
1955,,VAR,,NLD,11400
1955,,VAR,,NOR,2300
1955,,VAR,,SWE,28000
1955,,VAR,,CHE,9200
1955,,VAR,,TUR,2200
1955,,VAR,,USA,500000
1955,,VAR,,VAR,170900
1956,,VAR,,AUT,140000
1956,,VAR,,BEL,65000
1956,,VAR,,CAN,17485
1956,,VAR,,DNK,2500
1956,,VAR,,FRA,363290
1956,,VAR,,GBR,182000
1956,,VAR,,DEU,221000
1956,,VAR,,GRC,16000
1956,,VAR,,ITA,21500
1956,,VAR,,LUX,1900
1956,,VAR,,NLD,13600
1956,,VAR,,NOR,2800
1956,,VAR,,SWE,31000
1956,,VAR,,CHE,20700
1956,,VAR,,TUR,2100
1956,,VAR,,USA,500000
1956,,VAR,,VAR,167100
1957,,VAR,,AUT,68000
1957,,VAR,,BEL,69000
1957,,VAR,,CAN,46334
1957,,VAR,,DNK,2500
1957,,VAR,,FRA,389480
1957,,VAR,,GBR,179000
1957,,VAR,,DEU,217000
1957,,VAR,,GRC,16000
1957,,VAR,,ITA,21000
1957,,VAR,,LUX,1900
1957,,VAR,,NLD,13500
1957,,VAR,,NOR,3400
1957,,VAR,,SWE,33000
1957,,VAR,,CHE,20500
1957,,VAR,,TUR,2200
1957,,VAR,,USA,500000
1957,,VAR,,VAR,159700
1958,,VAR,,AUT,53000
1958,,VAR,,BEL,63000
1958,,VAR,,CAN,46908
1958,,VAR,,DNK,2500
1958,,VAR,,FRA,381152
1958,,VAR,,GBR,175000
1958,,VAR,,DEU,212000
1958,,VAR,,GRC,15700
1958,,VAR,,ITA,21000
1958,,VAR,,LUX,1900
1958,,VAR,,MAR,2700
1958,,VAR,,NLD,13000
1958,,VAR,,NOR,3300
1958,,VAR,,SWE,31000
1958,,VAR,,CHE,20000
1958,,VAR,,TUN,1000
1958,,VAR,,TUR,2150
1958,,VAR,,USA,500000
1958,,VAR,,VAR,153000
