Geocode,Year,WarDeathsData
AFE,2020,5664
AFG,1989,5174
AFG,1990,1478
AFG,1991,3302
AFG,1992,4276
AFG,1993,4071
AFG,1994,8937
AFG,1995,5499
AFG,1996,3177
AFG,1997,6396
AFG,1998,6256
AFG,1999,4629
AFG,2000,5235
AFG,2001,5055
AFG,2002,890
AFG,2003,687
AFG,2004,715
AFG,2005,1595
AFG,2006,4750
AFG,2007,6906
AFG,2008,5552
AFG,2009,6341
AFG,2010,6864
AFG,2011,7403
AFG,2012,7721
AFG,2013,8056
AFG,2014,12284
AFG,2015,17273
AFG,2016,17978
AFG,2017,19014
AFG,2018,25676
AFG,2019,29940
AFG,2020,20473
AFW,2018,2802
AFW,2019,3449
AFW,2020,4264
AGO,1989,2810
AGO,1990,2558
AGO,1991,516
AGO,1992,2346
AGO,1993,12054
AGO,1994,3974
AGO,1995,187
AGO,1996,29
AGO,1997,51
AGO,1998,1066
AGO,1999,2272
AGO,2000,943
AGO,2001,1123
AGO,2002,521
AGO,2003,25
AGO,2004,25
AGO,2007,25
AGO,2009,25
AGO,2016,25
AGO,2017,25
AGO,2019,25
AGO,2020,21
ALB,1999,6
ARB,2014,81200
ARB,2015,71350
ARB,2016,60440
ARB,2017,37510
ARB,2018,22346
ARB,2020,11090
ARM,1992,85
ARM,1993,37
ARM,1994,30
ARM,2005,1
ARM,2012,9
ARM,2015,9
ARM,2016,4
ARM,2020,10
AUS,2018,1
AZE,1991,35
AZE,1992,2082
AZE,1993,1194
AZE,1994,1477
AZE,1995,44
AZE,1997,29
AZE,1998,34
AZE,2005,24
AZE,2008,30
AZE,2012,16
AZE,2014,46
AZE,2015,63
AZE,2016,137
AZE,2017,36
AZE,2020,7623
BDI,1991,272
BDI,1992,61
BDI,1994,56
BDI,1995,254
BDI,1996,531
BDI,1997,639
BDI,1998,621
BDI,1999,524
BDI,2000,1348
BDI,2001,1182
BDI,2002,1170
BDI,2003,972
BDI,2004,387
BDI,2005,286
BDI,2006,141
BDI,2008,201
BDI,2014,60
BDI,2015,181
BDI,2019,16
BDI,2020,63
BEL,2016,2
BEL,2018,3
BFA,2018,79
BFA,2019,349
BFA,2020,509
BGD,1989,26
BGD,1990,45
BGD,1991,25
BGD,2005,62
BGD,2006,57
BGD,2016,41
BGD,2017,47
BGD,2020,2
BIH,1992,16482
BIH,1993,5456
BIH,1994,2828
BIH,1995,1345
BTN,1997,4
CAF,2001,195
CAF,2002,131
CAF,2006,46
CAF,2009,88
CAF,2010,47
CAF,2011,48
CAF,2012,45
CAF,2013,415
CAF,2014,17
CAF,2018,55
CAF,2019,51
CAF,2020,57
CHN,2008,36
CHN,2009,2
CHN,2015,5
CIV,1990,8
CIV,2002,624
CIV,2003,139
CIV,2004,47
CIV,2011,98
CMR,1996,56
CMR,2014,969
CMR,2015,924
CMR,2016,181
CMR,2017,98
CMR,2018,749
CMR,2019,693
CMR,2020,429
COD,1996,1389
COD,1997,4591
COD,1998,3356
COD,1999,3282
COD,2000,1473
COD,2001,486
COD,2002,76
COD,2005,34
COD,2006,177
COD,2007,632
COD,2008,767
COD,2009,1978
COD,2010,300
COD,2011,283
COD,2012,806
COD,2013,1531
COD,2014,993
COD,2015,197
COD,2016,765
COD,2017,3632
COD,2018,821
COD,2019,764
COD,2020,1149
COG,1993,53
COG,1997,10000
COG,1998,3272
COG,1999,626
COG,2002,167
COG,2016,51
COL,1989,238
COL,1990,501
COL,1991,725
COL,1992,1479
COL,1993,182
COL,1994,1123
COL,1995,823
COL,1996,1192
COL,1997,560
COL,1998,939
COL,1999,1374
COL,2000,1078
COL,2001,1864
COL,2002,2263
COL,2003,730
COL,2004,1234
COL,2005,1389
COL,2006,502
COL,2007,314
COL,2008,219
COL,2009,377
COL,2010,419
COL,2011,202
COL,2012,211
COL,2013,140
COL,2014,119
COL,2015,134
COL,2016,30
COL,2018,147
COL,2019,132
COL,2020,28
COM,1989,29
COM,1997,56
DEU,1989,3
DEU,1990,1
DJI,1989,6
DJI,1990,60
DJI,1991,59
DJI,1992,129
DJI,1993,33
DJI,1994,39
DJI,1999,25
DJI,2008,35
DZA,1991,34
DZA,1992,257
DZA,1993,800
DZA,1994,1916
DZA,1995,3008
DZA,1996,1084
DZA,1997,1403
DZA,1998,3029
DZA,1999,1016
DZA,2000,932
DZA,2001,642
DZA,2002,539
DZA,2003,670
DZA,2004,397
DZA,2005,217
DZA,2006,255
DZA,2007,472
DZA,2008,339
DZA,2009,505
DZA,2010,236
DZA,2011,267
DZA,2012,256
DZA,2013,147
DZA,2014,107
DZA,2015,110
DZA,2016,86
DZA,2017,60
DZA,2018,33
DZA,2020,25
EAP,2008,711
EAP,2009,1222
EAP,2015,1263
EAR,1990,58184
EAR,1991,20209
EAR,1992,12151
EAR,1993,7603
EAR,1994,12264
EAR,1996,9805
EAR,1997,6624
EAR,1998,9424
EAR,1999,35688
EAR,2000,55151
EAR,2001,6027
EAR,2002,8591
EAR,2003,6112
EAR,2004,6225
EAR,2005,4318
EAR,2006,4035
EAR,2016,51104
EAR,2017,29123
EAR,2018,20795
EAR,2019,13454
EAR,2020,11452
EAS,2008,711
EAS,2009,1222
EAS,2015,1263
ECA,2015,2372
ECA,2016,1840
ECA,2017,896
ECA,2020,8050
ECU,1995,11
ECU,2008,25
ECU,2019,2
EGY,1993,103
EGY,1994,145
EGY,1995,187
EGY,1996,85
EGY,1997,66
EGY,1998,27
EGY,2014,184
EGY,2015,767
EGY,2016,355
EGY,2017,497
EGY,2018,680
EGY,2019,445
EGY,2020,327
ERI,1997,31
ERI,1998,10
ERI,1999,17203
ERI,2000,1793
ERI,2003,57
ERI,2016,25
ESP,1991,44
ETH,1989,24358
ETH,1990,49698
ETH,1991,12225
ETH,1992,165
ETH,1993,36
ETH,1994,75
ETH,1995,29
ETH,1996,52
ETH,1998,1040
ETH,1999,30704
ETH,2000,48257
ETH,2001,40
ETH,2002,50
ETH,2003,50
ETH,2004,50
ETH,2005,83
ETH,2006,50
ETH,2007,177
ETH,2008,50
ETH,2009,515
ETH,2010,151
ETH,2011,51
ETH,2012,50
ETH,2013,77
ETH,2014,25
ETH,2015,49
ETH,2016,50
ETH,2019,27
ETH,2020,1343
FCS,2009,12763
FCS,2011,19501
FCS,2012,68202
FCS,2013,89145
FCS,2014,101194
FCS,2015,95664
FCS,2016,82736
FCS,2017,63254
FCS,2018,51599
FCS,2019,48723
FCS,2020,46803
FRA,2015,3
FRA,2017,2
FRA,2018,4
GBR,1989,35
GBR,1990,41
GBR,1991,26
GBR,1998,29
GBR,2019,1
GEO,1991,52
GEO,1992,771
GEO,1993,1763
GEO,2004,27
GEO,2008,621
GIN,2000,217
GIN,2001,430
GNB,1992,2
GNB,1998,505
GNB,1999,199
GTM,1989,82
GTM,1990,83
GTM,1991,72
GTM,1992,67
GTM,1993,58
GTM,1994,37
GTM,1995,27
HRV,1992,142
HRV,1993,345
HRV,1995,826
HTI,1989,48
HTI,1991,160
HTI,2004,207
IBD,2008,14427
IBD,2009,15269
IBD,2015,15073
IBT,2009,33853
IBT,2015,102288
IDA,2016,72130
IDA,2020,38138
IDB,2004,547
IDB,2009,7269
IDB,2011,3190
IDB,2012,3858
IDB,2013,3475
IDB,2014,7964
IDB,2015,7735
IDB,2016,3568
IDB,2017,2757
IDB,2018,2219
IDB,2019,2347
IDB,2020,2893
IDN,1990,72
IDN,1991,58
IDN,1992,39
IDN,1997,51
IDN,1998,30
IDN,1999,213
IDN,2000,286
IDN,2001,278
IDN,2002,466
IDN,2003,868
IDN,2004,935
IDN,2005,213
IDN,2018,25
IDX,2020,35245
IND,1989,1002
IND,1990,2326
IND,1991,3153
IND,1992,3078
IND,1993,1503
IND,1994,1178
IND,1995,836
IND,1996,833
IND,1997,950
IND,1998,881
IND,1999,2041
IND,2000,2929
IND,2001,1159
IND,2002,1868
IND,2003,1515
IND,2004,1374
IND,2005,1382
IND,2006,1373
IND,2007,1086
IND,2008,1076
IND,2009,1115
IND,2010,1028
IND,2011,439
IND,2012,416
IND,2013,405
IND,2014,473
IND,2015,504
IND,2016,636
IND,2017,665
IND,2018,824
IND,2019,594
IND,2020,584
IRN,1990,31
IRN,1991,44
IRN,1993,143
IRN,1996,34
IRN,1997,37
IRN,1999,19
IRN,2000,40
IRN,2001,112
IRN,2005,28
IRN,2006,52
IRN,2007,86
IRN,2008,117
IRN,2009,133
IRN,2010,74
IRN,2011,219
IRN,2016,22
IRN,2017,27
IRN,2018,60
IRN,2019,31
IRN,2020,204
IRQ,1989,50
IRQ,1990,94
IRQ,1991,23038
IRQ,1992,327
IRQ,1993,118
IRQ,1994,149
IRQ,1995,657
IRQ,1996,572
IRQ,1997,2020
IRQ,1998,32
IRQ,1999,270
IRQ,2000,53
IRQ,2001,36
IRQ,2002,26
IRQ,2003,7927
IRQ,2004,4094
IRQ,2005,2608
IRQ,2006,3928
IRQ,2007,2217
IRQ,2008,2200
IRQ,2009,1043
IRQ,2010,1118
IRQ,2011,1072
IRQ,2012,638
IRQ,2013,1882
IRQ,2014,12221
IRQ,2015,10200
IRQ,2016,9624
IRQ,2017,10204
IRQ,2018,1257
IRQ,2019,742
IRQ,2020,858
ISR,1989,5
ISR,1990,18
ISR,1991,16
ISR,1992,31
ISR,1993,49
ISR,1994,44
ISR,1995,35
ISR,1996,71
ISR,2000,77
ISR,2001,244
ISR,2002,611
ISR,2003,309
ISR,2004,378
ISR,2005,120
ISR,2006,547
ISR,2007,276
ISR,2008,665
ISR,2009,696
ISR,2010,27
ISR,2011,78
ISR,2012,235
ISR,2014,2371
ISR,2018,53
ISR,2019,48
JOR,2015,1
JOR,2016,34
KEN,1999,18
KEN,2001,10
KEN,2007,1
KEN,2011,2
KEN,2012,29
KEN,2013,29
KEN,2014,42
KEN,2015,48
KEN,2016,49
KEN,2017,85
KEN,2018,69
KEN,2019,61
KEN,2020,94
KGZ,1999,14
KGZ,2000,174
KHM,1989,814
KHM,1990,274
KHM,1991,220
KHM,1992,118
KHM,1993,274
KHM,1994,464
KHM,1995,694
KHM,1996,788
KHM,1997,415
KHM,1998,243
KHM,2011,10
KWT,1990,1058
KWT,1991,135
LAO,1989,30
LAO,1990,249
LBN,1989,760
LBN,1990,753
LBN,1991,40
LBN,1992,89
LBN,1993,122
LBN,1994,82
LBN,1995,73
LBN,1996,90
LBN,1997,82
LBN,1998,54
LBN,1999,41
LBN,2006,588
LBN,2013,2
LBN,2014,137
LBN,2015,76
LBN,2017,74
LBR,1989,27
LBR,1990,339
LBR,1993,5
LBR,2000,57
LBR,2001,341
LBR,2002,492
LBR,2003,1787
LBY,2011,3762
LBY,2013,31
LBY,2014,274
LBY,2015,275
LBY,2016,1727
LBY,2017,404
LBY,2018,44
LBY,2019,1631
LBY,2020,668
LDC,2020,30404
LIC,1994,13428
LIC,2013,85324
LIC,2019,43792
LIC,2020,35060
LKA,1989,533
LKA,1990,3622
LKA,1991,6432
LKA,1992,4091
LKA,1993,2075
LKA,1994,657
LKA,1995,4755
LKA,1996,3868
LKA,1997,2880
LKA,1998,3762
LKA,1999,1882
LKA,2000,2525
LKA,2001,1144
LKA,2003,29
LKA,2005,88
LKA,2006,1970
LKA,2007,2494
LKA,2008,8262
LKA,2009,10165
LMC,1990,12161
LMC,1991,13108
LMC,1997,17029
LMC,1998,13686
LMC,1999,8591
LMC,2000,10328
LMC,2001,5908
LMC,2003,5895
LMC,2004,5778
LMC,2005,3813
LMC,2011,5339
LMC,2014,13763
LMC,2015,11631
LMC,2016,5722
LMC,2017,6624
LMC,2018,4603
LMC,2019,4543
LMC,2020,4782
LMY,2009,33853
LMY,2015,102288
LSO,1998,78
LTE,2008,9720
LTE,2009,11378
LTE,2015,428
MAR,1989,207
MCO,1989,207
MDA,1992,585
MEA,2016,57228
MEA,2017,35459
MEA,2018,20008
MEA,2019,12150
MEA,2020,9307
MEX,1994,145
MEX,1996,37
MIC,2009,22726
MIC,2015,23437
MKD,2001,72
MLI,1990,457
MLI,1991,59
MLI,1994,106
MLI,2005,12
MLI,2007,39
MLI,2008,112
MLI,2009,126
MLI,2010,28
MLI,2012,218
MLI,2013,805
MLI,2014,189
MLI,2015,172
MLI,2016,96
MLI,2017,359
MLI,2018,522
MLI,2019,603
MLI,2020,564
MMR,1989,997
MMR,1990,536
MMR,1991,777
MMR,1992,1617
MMR,1993,130
MMR,1994,685
MMR,1995,317
MMR,1996,229
MMR,1997,323
MMR,1998,61
MMR,1999,25
MMR,2000,215
MMR,2001,193
MMR,2002,271
MMR,2003,38
MMR,2004,27
MMR,2005,139
MMR,2006,244
MMR,2007,348
MMR,2008,46
MMR,2009,188
MMR,2010,150
MMR,2011,713
MMR,2012,702
MMR,2013,278
MMR,2014,187
MMR,2015,629
MMR,2016,118
MMR,2017,517
MMR,2018,99
MMR,2019,558
MMR,2020,158
MNA,1993,1319
MNA,1996,1865
MNA,1997,3608
MNA,2016,57108
MNA,2017,35455
MNA,2018,19944
MNA,2019,12100
MNA,2020,9307
MOZ,1989,1149
MOZ,1990,1577
MOZ,1991,1326
MOZ,1992,309
MOZ,2013,42
MOZ,2014,30
MOZ,2016,55
MOZ,2018,53
MOZ,2019,290
MOZ,2020,924
MRT,2010,1
MYS,2013,70
MYS,2017,1
NAC,2001,233
NAM,1999,1
NAM,2000,57
NAM,2002,5
NER,1991,40
NER,1992,29
NER,1994,50
NER,1995,34
NER,1997,62
NER,2004,4
NER,2007,81
NER,2008,47
NER,2013,31
NER,2015,368
NER,2016,274
NER,2017,229
NER,2018,74
NER,2019,283
NER,2020,512
NGA,2004,151
NGA,2009,405
NGA,2011,325
NGA,2012,811
NGA,2013,1629
NGA,2014,3811
NGA,2015,4637
NGA,2016,2491
NGA,2017,1879
NGA,2018,1173
NGA,2019,1326
NGA,2020,1997
NIC,1989,526
NIC,1990,39
NLD,1990,2
NPL,1996,44
NPL,1997,40
NPL,1998,250
NPL,1999,156
NPL,2000,268
NPL,2001,429
NPL,2002,3946
NPL,2003,1341
NPL,2004,1880
NPL,2005,1104
NPL,2006,457
PAK,1990,73
PAK,1991,27
PAK,1994,74
PAK,1995,69
PAK,1996,47
PAK,1997,45
PAK,1998,52
PAK,1999,32
PAK,2000,59
PAK,2001,36
PAK,2002,148
PAK,2003,175
PAK,2004,359
PAK,2005,110
PAK,2006,419
PAK,2007,747
PAK,2008,3537
PAK,2009,6864
PAK,2010,6052
PAK,2011,2863
PAK,2012,3018
PAK,2013,1817
PAK,2014,3142
PAK,2015,2126
PAK,2016,796
PAK,2017,695
PAK,2018,228
PAK,2019,267
PAK,2020,373
PAN,1989,920
PER,1989,1827
PER,1990,1099
PER,1991,1138
PER,1992,1036
PER,1993,672
PER,1994,253
PER,1995,266
PER,1996,80
PER,1997,93
PER,1998,25
PER,1999,75
PER,2007,32
PER,2008,40
PER,2009,50
PER,2010,28
PER,2020,5
PHL,1989,937
PHL,1990,1306
PHL,1991,1515
PHL,1992,430
PHL,1993,253
PHL,1994,265
PHL,1995,152
PHL,1996,180
PHL,1997,302
PHL,1998,93
PHL,1999,199
PHL,2000,1567
PHL,2001,749
PHL,2002,662
PHL,2003,1056
